keV,Region_31__Back-Back,SNIP,PIXE_Fit__GeoPIXE_
       -1.160369873046875,       0.000000,       0.000000,       0.000000
       -1.151749610900879,       0.000000,       0.000000,       0.000000
       -1.143129229545593,       0.000000,       0.000000,       0.000000
       -1.134508967399597,       0.000000,       0.000000,       0.000000
       -1.125888705253601,       0.000000,       0.000000,       0.000000
       -1.117268323898315,       0.000000,       0.000000,       0.000000
       -1.108648061752319,       0.000000,       0.000000,       0.000000
       -1.100027799606323,       0.000000,       0.000000,       0.000000
       -1.091407418251038,       0.000000,       0.000000,       0.000000
       -1.082787156105042,       0.000000,       0.000000,       0.000000
       -1.074166893959045,       0.000000,       0.000000,       0.000000
       -1.065546512603760,       0.000000,       0.000000,       0.000000
       -1.056926250457764,       0.000000,       0.000000,       0.000000
       -1.048305988311768,       0.000000,       0.000000,       0.000000
       -1.039685726165771,       0.000000,       0.000000,       0.000000
       -1.031065344810486,       0.000000,       0.000000,       0.000000
       -1.022445082664490,       0.000000,       0.000000,       0.000000
       -1.013824701309204,       0.000000,       0.000000,       0.000000
       -1.005204439163208,       0.000000,       0.000000,       0.000000
      -0.9965841770172119,       0.000000,       0.000000,       0.000000
      -0.9879638552665710,       0.000000,       0.000000,       0.000000
      -0.9793435335159302,       0.000000,       0.000000,       0.000000
      -0.9707232713699341,       0.000000,       0.000000,       0.000000
      -0.9621029496192932,       0.000000,       0.000000,       0.000000
      -0.9534826278686523,       0.000000,       0.000000,       0.000000
      -0.9448623657226562,       0.000000,       0.000000,       0.000000
      -0.9362420439720154,       0.000000,       0.000000,       0.000000
      -0.9276217818260193,       0.000000,       0.000000,       0.000000
      -0.9190014600753784,       0.000000,       0.000000,       0.000000
      -0.9103811979293823,       0.000000,       0.000000,       0.000000
      -0.9017608761787415,       0.000000,       0.000000,       0.000000
      -0.8931405544281006,       0.000000,       0.000000,       0.000000
      -0.8845202922821045,       0.000000,       0.000000,       0.000000
      -0.8758999705314636,       0.000000,       0.000000,       0.000000
      -0.8672796487808228,       0.000000,       0.000000,       0.000000
      -0.8586593866348267,       0.000000,       0.000000,       0.000000
      -0.8500390648841858,       0.000000,       0.000000,       0.000000
      -0.8414187431335449,       0.000000,       0.000000,       0.000000
      -0.8327984809875488,       0.000000,       0.000000,       0.000000
      -0.8241781592369080,       0.000000,       0.000000,       0.000000
      -0.8155578374862671,       0.000000,       0.000000,       0.000000
      -0.8069375753402710,       0.000000,       0.000000,       0.000000
      -0.7983172535896301,       0.000000,       0.000000,       0.000000
      -0.7896969318389893,       0.000000,       0.000000,       0.000000
      -0.7810766696929932,       0.000000,       0.000000,       0.000000
      -0.7724563479423523,       0.000000,       0.000000,       0.000000
      -0.7638360261917114,       0.000000,       0.000000,       0.000000
      -0.7552157640457153,       0.000000,       0.000000,       0.000000
      -0.7465954422950745,       0.000000,       0.000000,       0.000000
      -0.7379751205444336,       0.000000,       0.000000,       0.000000
      -0.7293548583984375,       0.000000,       0.000000,       0.000000
      -0.7207345962524414,       0.000000,       0.000000,       0.000000
      -0.7121142148971558,       0.000000,       0.000000,       0.000000
      -0.7034939527511597,       0.000000,       0.000000,       0.000000
      -0.6948736906051636,       0.000000,       0.000000,       0.000000
      -0.6862533688545227,       0.000000,       0.000000,       0.000000
      -0.6776330471038818,       0.000000,       0.000000,       0.000000
      -0.6690127849578857,       0.000000,       0.000000,       0.000000
      -0.6603924632072449,       0.000000,       0.000000,       0.000000
      -0.6517721414566040,       0.000000,       0.000000,       0.000000
      -0.6431518793106079,       0.000000,       0.000000,       0.000000
      -0.6345315575599670,       0.000000,       0.000000,       0.000000
      -0.6259112358093262,       0.000000,       0.000000,       0.000000
      -0.6172909736633301,       0.000000,       0.000000,       0.000000
      -0.6086706519126892,       0.000000,       0.000000,       0.000000
      -0.6000503301620483,       0.000000,       0.000000,       0.000000
      -0.5914300680160522,       0.000000,       0.000000,       0.000000
      -0.5828097462654114,       0.000000,       0.000000,       0.000000
      -0.5741894245147705,       0.000000,       0.000000,       0.000000
      -0.5655691623687744,       0.000000,       0.000000,       0.000000
      -0.5569488406181335,       0.000000,       0.000000,       0.000000
      -0.5483285784721375,       0.000000,       0.000000,       0.000000
      -0.5397082567214966,       0.000000,       0.000000,       0.000000
      -0.5310879349708557,       0.000000,       0.000000,       0.000000
      -0.5224676728248596,       0.000000,       0.000000,       0.000000
      -0.5138473510742188,       0.000000,       0.000000,       0.000000
      -0.5052270293235779,       0.000000,       0.000000,       0.000000
      -0.4966067671775818,       0.000000,       0.000000,       0.000000
      -0.4879864454269409,       0.000000,       0.000000,       0.000000
      -0.4793661236763000,       0.000000,       0.000000,       0.000000
      -0.4707458615303040,       0.000000,       0.000000,       0.000000
      -0.4621255397796631,       0.000000,       0.000000,       0.000000
      -0.4535052180290222,       0.000000,       0.000000,       0.000000
      -0.4448849558830261,       0.000000,       0.000000,       0.000000
      -0.4362646341323853,       0.000000,       0.000000,       0.000000
      -0.4276443719863892,       0.000000,       0.000000,       0.000000
      -0.4190240502357483,       0.000000,       0.000000,       0.000000
      -0.4104037284851074,       0.000000,       0.000000,       0.000000
      -0.4017834663391113,       0.000000,       0.000000,       0.000000
      -0.3931631445884705,       0.000000,       0.000000,       0.000000
      -0.3845428228378296,       0.000000,       0.000000,       0.000000
      -0.3759225606918335,       0.000000,       0.000000,       0.000000
      -0.3673022389411926,       0.000000,       0.000000,       0.000000
      -0.3586819171905518,       0.000000,       0.000000,       0.000000
      -0.3500616550445557,       0.000000,       0.000000,       0.000000
      -0.3414413332939148,       0.000000,       0.000000,       0.000000
      -0.3328210115432739,       0.000000,       0.000000,       0.000000
      -0.3242007493972778,       0.000000,       0.000000,       0.000000
      -0.3155804276466370,       0.000000,       0.000000,       0.000000
      -0.3069601655006409,       0.000000,       0.000000,       0.000000
      -0.2983398437500000,       0.000000,       0.000000,       0.000000
      -0.2897195219993591,       0.000000,       0.000000,       0.000000
      -0.2810992598533630,       0.000000,       0.000000,       0.000000
      -0.2724789381027222,       0.000000,       0.000000,       0.000000
      -0.2638586163520813,       0.000000,       0.000000,       0.000000
      -0.2552383542060852,       0.000000,       0.000000,       0.000000
      -0.2466180324554443,       0.000000,       0.000000,       0.000000
      -0.2379977107048035,       0.000000,       0.000000,       0.000000
      -0.2293774485588074,       0.000000,       0.000000,       0.000000
      -0.2207571268081665,       0.000000,       0.000000,       0.000000
      -0.2121368646621704,       0.000000,       0.000000,       0.000000
      -0.2035165429115295,       0.000000,       0.000000,       0.000000
      -0.1948962211608887,       0.000000,       0.000000,       0.000000
      -0.1862759590148926,       0.000000,       0.000000,       0.000000
      -0.1776556372642517,       0.000000,       0.000000,       0.000000
      -0.1690353155136108,       0.000000,       0.000000,       0.000000
      -0.1604150533676147,       0.000000,       0.000000,       0.000000
      -0.1517947912216187,       0.000000,       0.000000,       0.000000
      -0.1431744098663330,       0.000000,       0.000000,       0.000000
      -0.1345541477203369,       0.000000,       0.000000,       0.000000
      -0.1259338855743408,       0.000000,       0.000000,       0.000000
      -0.1173135042190552,       0.000000,       0.000000,       0.000000
      -0.1086932420730591,       0.000000,       0.000000,       0.000000
      -0.1000729799270630,       0.000000,       0.000000,       0.000000
     -0.09145259857177734,       0.000000,       0.000000,       0.000000
     -0.08283233642578125,       0.000000,       0.000000,       0.000000
     -0.07421207427978516,       0.000000,       0.000000,       0.000000
     -0.06559169292449951,       0.000000,       0.000000,       0.000000
     -0.05697143077850342,       0.000000,       0.000000,       0.000000
     -0.04835116863250732,       0.000000,       0.000000,       0.000000
     -0.03973078727722168,       0.000000,       0.000000,       0.000000
     -0.03111052513122559,       0.000000,       0.000000,       0.000000
     -0.02249026298522949,       0.000000,       0.000000,       0.000000
     -0.01386988162994385,       0.000000,       0.000000,       0.000000
